APD,MO,T,BKH,ED,DBD,DOV,BEN,LANC,NC,NWN,PPG,RPM,SWK,UBSI,UVV,WGL,ERIE,ESS,NNN,PRE
2/1/2003,4/9/2003,11/1/2002,3/1/2003,3/15/2003,3/7/2003,3/14/2003,4/15/2003,3/31/2003,3/14/2003,2/15/2003,3/12/2003,1/31/2003,3/28/2003,4/1/2003,2/10/2003,2/1/2003,4/21/2003,4/15/2003,2/14/2003,3/3/2003
11/12/2002,1/10/2003,8/1/2002,12/1/2002,12/15/2002,12/6/2002,12/13/2002,1/15/2003,12/31/2002,12/16/2002,11/15/2002,12/12/2002,10/31/2002,12/27/2002,1/2/2003,11/12/2002,11/1/2002,1/20/2003,1/15/2003,11/15/2002,12/2/2002
8/12/2002,10/10/2002,5/1/2002,9/1/2002,9/15/2002,9/6/2002,9/13/2002,10/15/2002,09/30/2002,9/16/2002 ,8/15/2002,9/12/2002,7/31/2002,9/24/2002,10/1/2002,8/12/2002,8/1/2002,10/18/2002,10/15/2002,8/15/2002,9/3/2002
5/13/2002,7/10/2002,2/1/2002,6/1/2002,6/15/2002,7/7/2002,6/14/2002,7/16/2002,6/28/2002,6/14/2002 ,5/15/2002,6/12/2002,4/30/2002,6/28/2002,7/1/2002,5/13/2002,5/1/2002,7/19/2002,7/15/2002,5/15/2002,6/3/2002
2/11/2002,4/10/2002,11/1/2001,3/1/2002,3/15/2002,3/8/2002,3/15/2002,4/16/2002 ,3/29/2002,3/15/2002 ,2/15/2002,3/12/2002,1/31/2002,3/22/2002,4/1/2002,2/11/2002,2/1/2002,4/19/2002,4/15/2002,2/15/2002,3/1/2002
11/12/2001,1/10/2002,8/1/2001,12/1/2001,12/15/2001,12/7/2001,12/14/2001,1/14/2002 ,12/31/2001,12/14/2001 ,11/15/2001,12/12/2001,10/31/2001,12/27/2001,1/2/2002,11/12/2001,11/1/2001,1/18/2002,1/15/2002,11/15/2001,11/30/2001
8/13/2001,10/10/2001,5/1/2001,9/1/2001,9/15/2001,9/7/2001,9/13/2001,10/16/2001 ,9/28/2001,9/14/2001 ,8/15/2001,9/12/2001,7/31/2001,9/25/2001,10/1/2001,8/13/2001,8/1/2001,10/19/2001,10/15/2001,8/15/2001,8/31/2001
5/14/2001,7/10/2001,2/1/2001,6/1/2001,6/15/2001,6/8/2001,6/15/2001,7/13/2001 ,6/29/2001,6/15/2001 ,5/15/2001,6/12/2001,4/30/2001,6/29/2001,7/2/2001,5/14/2001,5/1/2001,07/20/2001,7/16/2001,5/15/2001,6/1/2001
2/12/2001,4/10/2001,11/1/2000,3/1/2001,3/15/2001,3/9/2001,3/15/2001,4/16/2001 ,3/30/2001,3/15/2001 ,2/15/2001,3/12/2001,1/31/2001,3/23/2001,4/2/2001,2/12/2001,2/1/2001,4/20/2001,4/16/2001,2/15/2001,3/1/2001
11/13/2000,10/10/2000,,12/1/2000,12/15/2000,12/8/2000,12/15/2000,1/16/2001 ,12/29/2000 ,12/15/2000 ,11/15/2000,12/12/2000,10/31/2000,12/26/2000,1/2/2001,11/13/2000,11/1/2000,1/19/2001,1/15/2001,11/15/2000,12/1/2000
,,,9/1/2000,9/15/2000,9/8/2000,9/15/2000,10/16/2000,9/29/2000,9/15/2000,,9/12/2000,,9/26/2000,10/2/2000,,,10/20/00,10/16/2000,,9/1/2000
,,,,3/15/2000,,,,,,,,,,,,,,,,
,,,,12/15/1999,,,,,,,,,,,,,,,,
,,,,9/15/1999,,,,,,,,,,,,,,,,
,,,,6/15/1999,,,,,,,,,,,,,,,,
,,,,3/15/1999,,,,,,,,,,,,,,,,
,,,,12/15/1998,,,,,,,,,,,,,,,,
,,,,9/15/1998,,,,,,,,,,,,,,,,
,,,,6/15/1998,,,,,,,,,,,,,,,,
,,,,3/15/1998,,,,,,,,,,,,,,,,
,,,,12/15/1997,,,,,,,,,,,,,,,,
,,,,9/15/1997,,,,,,,,,,,,,,,,
,,,,6/15/1997,,,,,,,,,,,,,,,,
,,,,3/15/1997,,,,,,,,,,,,,,,,
,,,,12/15/1996,,,,,,,,,,,,,,,,
,,,,9/15/1996,,,,,,,,,,,,,,,,
,,,,6/15/1996,,,,,,,,,,,,,,,,
,,,,3/15/1996,,,,,,,,,,,,,,,,
,,,,12/15/1995,,,,,,,,,,,,,,,,
,,,,9/15/1995,,,,,,,,,,,,,,,,
,,,,6/15/1995,,,,,,,,,,,,,,,,
,,,,3/15/1995,,,,,,,,,,,,,,,,
,,,,12/15/1994,,,,,,,,,,,,,,,,
,,,,9/15/1994,,,,,,,,,,,,,,,,
,,,,6/15/1994,,,,,,,,,,,,,,,,
,,,,3/15/1994,,,,,,,,,,,,,,,,
,,,,12/15/1993,,,,,,,,,,,,,,,,
,,,,9/15/1993,,,,,,,,,,,,,,,,
,,,,6/15/1993,,,,,,,,,,,,,,,,
,,,,3/15/1993,,,,,,,,,,,,,,,,
,,,,12/15/1992,,,,,,,,,,,,,,,,
,,,,9/15/1992,,,,,,,,,,,,,,,,
,,,,6/15/1992,,,,,,,,,,,,,,,,
,,,,3/15/1992,,,,,,,,,,,,,,,,
,,,,12/15/1991,,,,,,,,,,,,,,,,
,,,,9/15/1991,,,,,,,,,,,,,,,,
,,,,6/15/1991,,,,,,,,,,,,,,,,
,,,,3/15/1991,,,,,,,,,,,,,,,,
,,,,12/15/1990,,,,,,,,,,,,,,,,
,,,,9/15/1990,,,,,,,,,,,,,,,,
,,,,6/15/1990,,,,,,,,,,,,,,,,
,,,,3/15/1990,,,,,,,,,,,,,,,,
,,,,12/15/1989,,,,,,,,,,,,,,,,
,,,,9/15/1989,,,,,,,,,,,,,,,,
